z,r_0.1,r_0.2,r_0.3,r_0.4,r_0.5,r_0.6,r_0.7,r_0.8,r_0.9
0,0.06,0.13,0.19,0.26,0.33,0.41,0.49,0.59,0.71
0.1,0.06,0.13,0.19,0.26,0.33,0.41,0.49,0.59,0.71
0.2,0.06,0.13,0.19,0.26,0.33,0.41,0.49,0.59,0.71
0.3,0.06,0.12,0.19,0.26,0.33,0.4,0.49,0.59,0.71
0.4,0.06,0.12,0.19,0.25,0.32,0.4,0.48,0.58,0.71
0.5,0.06,0.12,0.18,0.25,0.32,0.4,0.48,0.58,0.7
0.6,0.06,0.12,0.18,0.24,0.31,0.39,0.47,0.57,0.7
0.7,0.05,0.11,0.17,0.24,0.31,0.38,0.47,0.57,0.7
0.8,0.05,0.11,0.17,0.23,0.3,0.37,0.46,0.56,0.69
0.9,0.05,0.1,0.16,0.22,0.29,0.36,0.45,0.55,0.68
1,0.05,0.1,0.15,0.21,0.28,0.35,0.44,0.54,0.68
1.1,0.04,0.09,0.14,0.2,0.27,0.34,0.43,0.53,0.67
1.2,0.04,0.08,0.14,0.19,0.26,0.33,0.42,0.52,0.66
1.3,0.04,0.08,0.13,0.18,0.25,0.32,0.41,0.51,0.65
1.4,0.03,0.07,0.12,0.17,0.23,0.31,0.39,0.5,0.64
1.5,0.03,0.07,0.11,0.16,0.22,0.29,0.38,0.49,0.63
1.6,0.03,0.06,0.06,0.15,0.21,0.28,0.37,0.47,0.62
1.7,0.02,0.05,0.09,0.14,0.2,0.27,0.35,0.46,0.61
1.8,0.02,0.05,0.08,0.13,0.18,0.25,0.34,0.45,0.6
1.9,0.02,0.04,0.08,0.12,0.17,0.24,0.32,0.43,0.59
2,0.02,0.04,0.07,0.11,0.16,0.22,0.31,0.42,0.58
